Programming Concept,Context_1,Languages
Primtive Data Types,HTTP API Integration,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#"
Struct Data Type,REST API Integration,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#"
Array Data Type,GraphQL Integration,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#"
Map Data Type,Frontend Animation,"Javascript, TypeScript, HTML, CSS"
Linked List Data Type,Frontend DOM Manipulation,"Javascript, TypeScript, HTML, CSS"
Stack Data Type,"Server, Application and Database Management","Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#, SQL"
Queue Data Type,Integration of Frontend and Backend ,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#"
Heap Data Type,Android Development,"Java, Kotlin"
Hashtable Data Type,iOS Development,"Swift, Objective-C"
Binary Tree Data Type,Cross Platform Mobile Development,"JavaScript, Dart, C#"
Balanced Tree Data Type,Windows Application,"Javascript, C#, C++, Visual Basic, Java, Python"
Trie Data Type,macOS Application,"Swift, Objective-C"
Graph Data Type,Linux Application,"Javascript, C#, C++, Java, Python, Go, BASH, SH, ZSH, Perl"
Conditions Control,Data Science,"R, Python, Julia, SQL"
Loop Control,Machine Learning,"R, Python, Julia"
Higher Order Functions,Deep Learning,"Python, Julia"
Inheritance,Neural Networks,"Python, Julia"
Interface,CNN,"Python, Julia"
Generics,RNN,"Python, Julia"
Decorator Pattern,GANs,"Python, Julia"
Middleware Pattern,Hadoop,"Java, Python, C++, R, Perl, Ruby, BASH"
Quicksort Algorithm,Spark,"Scala, Python, Java, R, SQL"
Mergesort Algorithm,Kafka,"Java, Scala, Python, C, C++, Go, Ruby, Javascript, PHP"
Heapsort Algorithm,Network Programming,"C, C++, Java, Python, Go, C#, Javascript"
Bubblesort Algorithm,Performance Optimisation,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#, SQL, PHP"
Insertionsort Algorithm,Amazon Web Services,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#, SQL, PHP"
Binary Search,Microsoft Azure,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#, SQL, PHP"
Depth First Search,Google Cloud,"Javascript, TypeScript, Java, Python, Ruby, Golang, C++, C#, SQL, PHP"
Breadth First Search,Device Drivers,"C, C++, Rust"
Dynamic Programming,Kernel Development,"C, C++, Rust"
Greedy Algorithms,,
Djikstras Algorithm,,
A* search algorithm ,,
Bellmon-Ford Algorithm,,